,prosumer_generation_kw,prosumer_total_demand_kw,prosumer_base_demand_kw,community_supply_kw,community_demand_kw,battery_charge_discharge_kw,net_grid_trade_kw,battery_soc_kwh
2023-06-28 04:30:00,0.002939354867352,0.05,1.005750554243143,1.2070718462481809,388.0,-0.2510744874843247,-1.2643276007262188e-05,1.3259090464050827
2023-06-28 04:45:00,0.0021672058659573,0.05,0.9764758935418006,1.2070718462481809,384.0,-0.2440110157963323,-1.2629947065469797e-05,1.08189803060875
2023-06-28 05:00:00,0.2099800407935383,0.05,0.9966179093057073,83.74918950671278,408.00000000000006,1.0533300694977263,-1.2500126078960951,2.1352281001064766
2023-06-28 05:15:00,0.1570251664824234,0.0524285784148006,1.0015593900479942,83.74918950671278,460.0,-0.21175783330503048,-1.2581750995267012e-05,1.9234702668014458
2023-06-28 05:30:00,0.1528616707325604,0.05,1.0414640360239589,83.74918950671278,440.0,0.2517842666481862,-0.49426564687071806,2.175254533449632
2023-06-28 05:45:00,0.1824228352529988,0.05,1.0173949053275015,83.74918950671278,464.0,-0.2094532517722411,-1.2582306410346204e-05,1.9658012816773907
2023-06-28 06:00:00,0.6400708990606413,0.05,0.10797568348233418,328.6054116350482,464.0,0.132903675429104,-1.2606938505819635e-05,2.0987049571064946
2023-06-28 06:15:00,0.6203716220736142,0.05,0.10327201408790306,328.6054116350482,468.0,0.12927053956129825,-1.2626163430468508e-05,2.227975496667793
2023-06-28 06:30:00,0.6981893389325261,0.05,0.16668550554988115,328.6054116350482,492.0,0.13288533150722373,-1.2638729167260846e-05,2.3608608281750167
2023-06-28 06:45:00,0.6003461574071561,0.05,0.13667265413783428,328.6054116350482,480.0,0.11592750587553421,-1.2647499835647735e-05,2.4767883340505508
2023-06-28 07:00:00,1.1784692301705626,0.05,0.10930157139597275,598.7615160537024,488.0,1.196970031407381,-1.250012654139349,3.6737583654579318
2023-06-28 07:15:00,1.4337160770820936,0.0551226356782002,0.08970164971236982,598.7615160537024,728.0,0.3359945980609382,-1.265822679158357e-05,4.00975296351887
2023-06-28 07:30:00,1.1244045184904723,0.0741439489673771,0.17195990665588987,598.7615160537024,748.0,0.23809464221942905,-1.2660797118609154e-05,4.247847605738299
2023-06-28 07:45:00,1.332430577695768,0.0638999178355278,0.10056230486477373,598.7615160537024,788.0,0.30794726542927214,-1.2662217502995115e-05,4.555794871167571
2023-06-28 08:00:00,1.1296446246905087,0.0821954547568661,0.17365204012454574,561.5470114061151,840.0,0.2299922989618694,-1.2662743666788011e-05,4.78578717012944
2023-06-28 08:15:00,1.050623928093712,0.0770683449616841,0.1604685365160786,561.5470114061151,848.0,0.17107111466306568,-1.2663561843645261e-05,4.9568582847925065
2023-06-28 08:30:00,1.3234066245166565,0.0752212927667008,0.09642105796098022,561.5470114061151,852.0,0.19027311652803403,-1.2664058979313904e-05,5.14713140132054
2023-06-28 08:45:00,1.256089570366267,0.0512517630796415,0.14948999430945906,561.5470114061151,856.0,0.17386237972409538,-1.2664470872203882e-05,5.320993781044636
2023-06-28 09:00:00,0.347159082300169,0.0794833311012615,0.14743077967096013,173.83750022054863,900.0,-0.05550786807798972,-1.2660998606726467e-05,5.265485912966645
2023-06-28 09:15:00,0.3444650279613583,0.05,0.10912206025183892,173.83750022054863,940.0000000000001,-0.04441826388169181,-1.2661124312109671e-05,5.221067649084954
2023-06-28 09:30:00,0.3996288499299844,0.0738709387348239,0.12484064182792998,173.83750022054863,988.0,-0.024141831280340514,-1.2661181100797766e-05,5.196925817804614
2023-06-28 09:45:00,0.2877686570668035,0.0670640887193852,0.13609083546778294,173.83750022054863,996.0,-0.04170922030962487,-1.26612928188266e-05,5.155216597494989
2023-06-28 10:00:00,0.6861888597648073,0.0728463515086709,0.18590227378405091,328.4786782751915,1008.0,0.058010836209479964,-1.266257982692338e-05,5.213227433704469
2023-06-28 10:15:00,0.6272393506665135,0.0799525277905723,0.11767594823975125,328.4786782751915,960.0,0.087592495252415,-1.2662763971585744e-05,5.300819928956884
2023-06-28 10:30:00,0.6176248959029121,0.070888046943924,0.13241570021390228,328.4786782751915,996.0,0.11749593227727657,-1.2662695895943751e-05,5.41831586123416
2023-06-28 10:45:00,0.6835176220958192,0.0821726451195716,0.12187263460006995,328.4786782751915,988.0,0.13343859196399538,-1.2662724264433348e-05,5.551754453198155
